지역,월,일시,시간,승차,하차,전체
경기도 고양시 덕양구 원신동,1,주말,06시~07시,108 ,57 ,165 
경기도 고양시 덕양구 원신동,1,주말,07시~08시,198 ,100 ,298 
경기도 고양시 덕양구 원신동,1,주말,08시~09시,315 ,217 ,532 
경기도 고양시 덕양구 원신동,1,주말,09시~10시,308 ,195 ,503 
경기도 고양시 덕양구 원신동,1,주말,10시~11시,278 ,172 ,450 
경기도 고양시 덕양구 원신동,1,주말,11시~12시,312 ,171 ,483 
경기도 고양시 덕양구 원신동,1,주말,12시~13시,393 ,201 ,594 
경기도 고양시 덕양구 원신동,1,주말,13시~14시,297 ,225 ,522 
경기도 고양시 덕양구 원신동,1,주말,14시~15시,309 ,232 ,541 
경기도 고양시 덕양구 원신동,1,주말,15시~16시,288 ,236 ,524 
경기도 고양시 덕양구 원신동,1,주말,16시~17시,277 ,281 ,558 
경기도 고양시 덕양구 원신동,1,주말,17시~18시,285 ,356 ,641 
경기도 고양시 덕양구 원신동,1,주말,18시~19시,269 ,360 ,629 
경기도 고양시 덕양구 원신동,1,주말,19시~20시,155 ,329 ,484 
경기도 고양시 덕양구 원신동,1,주말,20시~21시,163 ,234 ,397 
경기도 고양시 덕양구 원신동,1,주말,21시~22시,156 ,246 ,402 
경기도 고양시 덕양구 원신동,1,주말,22시~23시,143 ,293 ,436 
경기도 고양시 덕양구 원신동,1,주말,23시~24시,83 ,165 ,248 
경기도 고양시 덕양구 원신동,1,주말,00시~01시,12 ,54 ,66 
경기도 고양시 덕양구 원신동,1,주말,주간,3529 ,2746 ,6275 
경기도 고양시 덕양구 원신동,1,주말,전일,4414 ,4142 ,8556 
경기도 고양시 덕양구 흥도동,1,평일,01시~02시,-,4 ,4 
경기도 고양시 덕양구 흥도동,1,평일,05시~06시,181 ,107 ,288 
경기도 고양시 덕양구 흥도동,1,평일,06시~07시,558 ,338 ,896 
경기도 고양시 덕양구 흥도동,1,평일,07시~08시,1405 ,898 ,2303 
경기도 고양시 덕양구 흥도동,1,평일,08시~09시,1349 ,1136 ,2485 
경기도 고양시 덕양구 흥도동,1,평일,09시~10시,650 ,548 ,1198 
경기도 고양시 덕양구 흥도동,1,평일,10시~11시,566 ,451 ,1017 
경기도 고양시 덕양구 흥도동,1,평일,11시~12시,484 ,429 ,913 
경기도 고양시 덕양구 흥도동,1,평일,12시~13시,498 ,457 ,955 
경기도 고양시 덕양구 흥도동,1,평일,13시~14시,564 ,505 ,1069 
경기도 고양시 덕양구 흥도동,1,평일,14시~15시,483 ,535 ,1018 
경기도 고양시 덕양구 흥도동,1,평일,15시~16시,576 ,627 ,1203 
경기도 고양시 덕양구 흥도동,1,평일,16시~17시,559 ,616 ,1175 
경기도 고양시 덕양구 흥도동,1,평일,17시~18시,714 ,785 ,1499 
