업종명,업소명,업소소재지(도로명),업소소재지(지번),소재지전화
이용업,영사우나내이용원,"경기도 고양시 덕양구 호국로790번길 17 (성사동,원당영대중사우나 내(5층))",경기도 고양시 덕양구 성사동 697번지 14호  원당영대중사우나 내(5층) ,031 -8535-0151
이용업,오땡큐,"경기도 고양시 덕양구 푸른마을로 22, 101호 (고양동, 푸른마을2단지 상가동)",경기도 고양시 덕양구 고양동 720번지   ,031 - 962-7656
이용업,충무,"경기도 고양시 일산동구 중산로 245, 지층 일부호 (중산동, 대성상가)",경기도 고양시 일산동구 중산동 1561번지  대성상가 지층 일부호, 031-976 -9252
이용업,호수,"경기도 고양시 일산동구 무궁화로 8-38 (장항동,호수그린오피스텔)",경기도 고양시 일산동구 장항동 752번지 1호  호수그린오피스텔 , 031-905 -9715
이용업,우일,"경기도 고양시 일산서구 중앙로 1376 (주엽동, 강선마을상가 B-B1-1,2호 (탐라랜드내))","경기도 고양시 일산서구 주엽동 75번지  강선마을상가 B-B1-1,2호 (탐라랜드내) ", 031-7227-337
이용업,햇빛이용원,"경기도 고양시 덕양구 충장로152번길 47 (행신동,햇빛마을 20단지상가 지하1호)",경기도 고양시 덕양구 행신동 937번지  햇빛마을 20단지상가 지하1호 , 031-0938-2406
이용업,샘터이용원,경기도 고양시 덕양구 충장로117번길 22-9 (행신동),경기도 고양시 덕양구 행신동 637번지 12호   , 031- 979-3616
이용업,새로바이발클럽,"경기도 고양시 일산동구 위시티로 41, 2층 전체호 (식사동)",경기도 고양시 일산동구 식사동 662번지 1호   2층 전체호, 031- 978-7405
이용업,삼성이용원,"경기도 고양시 덕양구 화신로 295, 201-1 건영상가동 일부동 (화정동)",경기도 고양시 덕양구 화정동 951번지  201-1 건영상가동 일부 , 031- 978-1385
이용업,후동,"경기도 고양시 일산서구 일청로 47 (일산동, 2층)",경기도 고양시 일산서구 일산동 584번지 39호  2층 , 031- 977-9696
이용업,코아,"경기도 고양시 일산동구 중산로 249, 106호 (중산동, 중산코아)",경기도 고양시 일산동구 중산동 1560번지  중산코아 106호, 031- 977-7551
이용업,고봉이용원,경기도 고양시 일산동구 문봉길 93 (문봉동),경기도 고양시 일산동구 문봉동 204번지 3호   , 031- 977-7314
이용업,동양,경기도 고양시 일산동구 약산길 7 (중산동),경기도 고양시 일산동구 중산동 24번지 10호   , 031- 977-5786
이용업,태후사랑,"경기도 고양시 일산서구 원일로73번길 17, 1층 일부호 (일산동)",경기도 고양시 일산서구 일산동 598번지   1층일부호, 031- 977-1323
이용업,상미,경기도 고양시 일산서구 원일로 83-1 (일산동),경기도 고양시 일산서구 일산동 594번지 26호   , 031- 976-9846
이용업,명성 이용원,경기도 고양시 일산서구 원일로 102 (일산동),경기도 고양시 일산서구 일산동 640번지 71호   , 031- 976-2810
이용업,중산커트,"경기도 고양시 일산동구 탄중로 323 (중산동,현대프라자 101호)",경기도 고양시 일산동구 중산동 1569번지 2호  현대프라자 101호 , 031- 976-2236
이용업,태후사랑,"경기도 고양시 일산서구 고양대로 710, 1층 일부호 (일산동)",경기도 고양시 일산서구 일산동 산 37번지 11호  1층 일부 , 031- 976-0967
이용업,에이스 사우나내 이용원,"경기도 고양시 일산서구 고봉로 291 (일산동,외 3필지 에이스스타디움 601호)",경기도 고양시 일산서구 일산동 555번지 1호  외 3필지 에이스스타디움 601호 , 031- 975-5550
이용업,백조,"경기도 고양시 일산서구 원일로45번길 2 (일산동,1층일부)",경기도 고양시 일산서구 일산동 963번지 23호  1층일부 , 031- 975-3077
이용업,행복헤어(천연머리염색),"경기도 고양시 일산서구 고양대로685번길 31, 우측호 (일산동)",경기도 고양시 일산서구 일산동 637번지 53호   우측호, 031- 975-1966
이용업,세신이용원,"경기도 고양시 덕양구 중앙로 542 (행신동,세신훼미리타운 204호)",경기도 고양시 덕양구 행신동 952번지  세신훼미리타운 204호 , 031- 974-8568
