연번,사업장명,소재지,종별
219,아우토슈타트㈜,고양시 일산서구 고양대로 136(법곳동),5
220,경성에스알엠,고양시 덕양구 통일로 1170번길 135-30(내유동),5
221,엄지모터스,고양시 일산동구 견달산로 207-5(식사동),5
222,오토 칠(AUTO7),고양시 일산서구 경의로 813-1(덕이동),5
223,세경테크,고양시 일산동구 공릉천로473번길 78-6(설문동),5
224,대왕보링자동차공업사,고양시 일산동구 장진천길 14-24(설문동),5
225,광림특장차㈜,고양시 일산동구 장진천길 14-34(설문동),5
226,㈜미성보드텍,고양시 일산동구 고봉로 578번길 9-32(성석동),5
227,㈜제이엔크린테크,고양시 일산동구 성석로 285-61(성석동),4
228,마포대성,고양시 일산서구 송산로214번길 27(구산동),5
229,㈜오토반플러스,고양시 일산서구 법곳길115번길 95(법곳동),5
230,㈜우리티엠에스,고양시 일산동구 성현로268번길 108(성석동),5
231,삼성화재해상보험㈜[글로벌캠퍼스],고양시 일산동구 문원길 135(설문동),5
232,팜드림주식회사,고양시 덕양구 고골길116번길 39-62(관산동),5
233,빅토리아,고양시 일산동구 은마길63번길 57-20 마동(설문동),5
234,삼송현대서비스㈜,고양시 덕양구 큰골길 10,5
235,대영가구,"고양시 일산동구 은마길 31-65(성석동, 자동, 차동)",5
236,인제대학교 일산백병원,고양시 일산서구 주화로 170(대화동),4
237,㈜일산씨월드,"고양시 일산서구 한류월드로 282(대화동, 아쿠아플라넷)",5
238,오토플러스,고양시 일산동구 고양대로 881(풍동),5
239,㈜ 코마코,"고양시 일산동구 일산로 142, 1013호(백석동, 유니테크빌)",5
240,㈜ 소노호텔앤리조트 고양지점,고양시 일산동구 태극로 20(장항동),4
241,서울지방경찰청기동단 [서울기동경찰교육훈련센터],고양시 덕양구 유산길 78(내유동),5
242,㈜문화방송(일산MBC 드림센타),고양시 일산동구 호수로 596(장항동),5
243,동양생명보험(주) 인재개발원,고양시 일산동구 성현로268번길 68-7(성석동),5
244,코닉모터스,고양시 일산서구 덕산로121번길 23-4(가좌동),5
245,㈜국민은행인재개발원,고양시 일산동구 탄중로 393-66 ,5
246,뉴코아 아울렛 일산점,고양시 일산동구 중앙로 1206,4
247,국민건강보험공단 일산병원,고양시 일산동구 일산로 100(백석동),4
248,㈜ 와이제이코퍼레이션 [요진타워],고양시 덕양구 화신로260번길 57(화정동),5
249,의료법인 명지의료재단 [명지병원],고양시 덕양구 화수로14번길 55(화정동),4
250,농협대학교,고양시 덕양구 서삼릉길 281(원당동),4
251,스파렉스 탄현점,"고양시 일산서구 산현로92번길 60 (일산동, 탄현이화프라자 401호, 501호)",4
252,㈜명진자동차,고양시 일산동구 성현로 363(문봉동),5
253,주식회사 원마운트,고양시 일산서구 한류월드로 300(대화동),4
254,천지연 목욕탕,"고양시 덕양구 충경로 48, 6층,7층 (행신동, 진일프라자 2차)",4
255,국립암센터,고양시 일산동구 일산로 323,4
256,㈜조양디엠,"고양시 일산동구 공릉천로473번길 62(설문동, 2동)",5
257,덕온대중사우나,고양시 덕양구 원당로 316,4
258,굿모닝건강랜드,고양시 일산동구 고양대로 1030,4
259,㈜킨텍스, 고양시 일산서구 한류월드로 408,4
260,한국항공대학교,고양시 덕양구 항공대학로 76,4
261,동국대학교 의료원(일산),고양시 일산동구 동국로 27,4
262,㈜에이스스파랜드,"고양시 일산서구 고봉로 291 에이스스타디움 5, 6층",4
263,성석불한증나라,고양시 일산동구 진밭로45번길 12(성석동),4
264,㈜보광섬유,고양시 덕양구 통일로 1161-97(내유동),4
265,성현모터스,고양시 일산동구 공릉천로 348,5
266,정발산장작불사우나,"고양시 일산동구 정발산로 47, 6층(장항동, 웅신아트프라자)",4
267,동국대학교(일산캠퍼스),고양시 일산동구 동국로 32(식사동),4
268,중산자동차,고양시 일산동구 고봉로531번길 29(성석동),5
269,삼성분체,고양시 일산동구 지영로196번길 187,4
270,서대문구청(난지물재생센터),"고양시 덕양구 대덕로 426, 난지물재생센터",3
271,선인자동차㈜,고양시 일산동구 풍동 116-16,5
272,㈜청명산업,고양시 덕양구 통일로1031번길 346(내유동),3
273,(주)티에스케이워터(일산공공하수처리시설),고양시 일산서구 고양대로112번길 64(법곳동),4
274,가온모터스,고양시 일산동구 성석로 46(중산동),5
275,대화사우나,"고양시 일산서구 송포로 35, 대륙종합상가B201, 202, 301, 302(대화동)",5
276,㈜윤기모터스,"고양시 일산동구 은마길 25, 나동(성석동)",5
277,㈜삼해홀딩스,"고양시 일산동구 장대길 128-80, 가동(장항동)",4
278,B&B모터스,고양시 일산서구 신덕로 49(덕이동),5
279,㈜한양컨트리클럽,고양시 덕양구 고양대로1643번길 164(원당동),5
280,덕이자동차정비공업㈜,고양시 일산서구 송산로 499-16(덕이동),5
281,호수사우나,"고양시 일산동구 무궁화로 8-38, 호수그린오피스텔 B01-B04호(장항동)",5
282,오성자동차,고양시 일산동구 은마길 31-30(성석동),5
283,㈜코비인터내셔널,고양시 일산동구 은마길151번길 16(설문동),5
284,고양한우영농조합법인,고양시 일산동구 공릉천로 384-87(지영동),5
285,칼라인 케이스,"고양시 덕양구 내유길131번길 38-13, 나동, 다동(내유동)",5
286,주식회사 와이제이케미칼,"고양시 일산동구 은마길 31-65, 라동, 마동(성석동)",5
287,AJ 모터스,"고양시 일산동구 은마길63번길 75, 1동 1층(설문동)",5
288,CS MOTORS,"고양시 일산동구 은마길63번길 75, 1동 2층(설문동)",5
289,㈜세정기획,고양시 일산동구 노첨길 62(장항동),5
290,큐비알 테크,"고양시 덕양구 동헌로 225, 가, 나동(대자동)",5
291,성석 자동차서비스,"고양시 일산동구 성현로135번길 109, 가동(성석동)",5
292,더수예진,"고양시 일산동구 지영로100번길 48, 가동(지영동)",5
293,㈜아그레망,고양시 일산동구 성현로268번길 110-48(성석동),5
294,인선이엔티㈜,고양시 일산동구 동국로 240(식사동),4
295,지성 파인텍,"고양시 일산동구 은마길 31-65, 가동(성석동)",5
296,고양자동차공업사,고양시 일산동구 공릉천로 326 4동(지영동),5
297,덕양자동차 검사소,고양시 덕양구 무원로6번길 31(행신동),5
298,현대자동차(주)고양서비스센터,고양시 일산서구 킨텍스로 217-6(대화동),4
299,원마인드모터스,고양시 일산동구 견달산로 178-55(식사동),5
300,동해개발,고양시 덕양구 중앙로 313(도내동),4
301,혜림화학,고양시 일산동구 성현로431번길 73-18(문봉동),5
302,모스디앤아이,"고양시 일산동구 견달산로 361-1, 1동(문봉동)",4
303,㈜고양경일에너지,"고양시 일산동구 통일로1267번길 143-70, B동(지영동)",5
304,동궁스파24시사우나,"고양시 일산동구 중앙로 1123, 흰돌마을상가동 지층 1호(백석동)",5
305,제로이엔텍㈜,고양시 일산동구 성석로 285-40(성석동),5
306,고봉산재래한증막,고양시 일산동구 성석로 67(중산동),5
307,㈜스타필드고양,고양시 덕양구 고양대로 1955(동산동),4
308,상아종합모터스㈜,고양시 일산동구 동국로 325-4(문봉동),5
309,백송,"고양시 일산서구 덕이로 212, 백송프라자 지하2층(덕이동)",5
310,KJ기업,고양시 일산동구 지영로100번길 56(지영동),5
311,민인테리어,"고양시 일산동구 은마길 31-60, 나동(성석동)",5
312,민실업,"고양시 일산동구 은마길 31-60, 가동(성석동)",4
313,오성MOTORS,고양시 일산동구 은마길 31-31(성석동),5
314,주식회사 에이치에스모터스,고양시 일산서구 고양대로112번길 54-13(법곳동),5
315,(주)온누리오토프로,고양시 덕양구 권율대로 822(신원동),5
316,해주빌딩,고양시 덕양구 서오릉로 414(용두동),4
317,강선금속도장,"고양시 일산동구 장진천길46번길 105, 다동(설문동)",4
318,모터인,"고양시 일산동구 은마길79번길 55, 가동(설문동)",5
319,주식회사 원진자동차,고양시 일산동구 성현로 151(성석동),5
320,성지모터스,"고양시 일산동구 성현로135번길 109, 나동(성석동)",5
321,㈜샤인모터스,고양시 일산서구 미래로 184-17(덕이동),5
322,카-원스톱,고양시 일산서구 덕이로 72(덕이동),5
323,(주)세진리사이클링,"고양시 덕양구 통일로1031번길 342, 308(내유동)",5
324,광진자동차정비,고양시 일산동구 은마길 31-40(성석동),4
325,㈜대일인터내셔널,고양시 일산동구 성현로 426-45(문봉동),5
326,S2G 모터스,고양시 일산동구 고양대로 864-33(중산동),5
327,원일현대서비스,고양시 일산동구 장진천길 14-7(설문동),5
328,㈜모터원 고양사고수리전문센터,고양시 일산동구 성석로 209(성석동),5
329,주식회사 푸를청,고양시 일산동구 은마길63번길 25-71(성석동),5
330,뉴 피크 분체,"고양시 일산동구 장친전길46번길 105, 다동(설문동)",4
331,㈜오토프로,고양시 일산서구 덕이로 171-1(덕이동),5
332,창성모터스,고양시 일산동구 동국로 100,5
333,스마트자동차공업사,"고양시 일산동구 은마길63번길 75, 2동 1층",5
334,케이씨씨 오토모빌㈜,고양시 일산동구 백마로 536-30(풍동),5
335,㈜청솔씨앤티,고양시 일산동구 지영로 58-9(지영동),5
336,코오롱 모빌리티 일산점,고양시 일산서구 덕이로 40(덕이동),5
337,현대모터스,고양시 일산서구 멱절길 45(덕이동),5
338,주식회사 우정,고양시 일산서구 덕산로121번길 13-2(가좌동),5
339,㈜렉스휴먼인더스트리,"고양시 일산서구 덕이로 30-7, 2동(덕이동)",5
340,㈜케이엠오토모빌,고양시 덕양구 통일로 1196(내유동),5
341,고양 바이오매스 에너지시설,고양시 덕양구 고양대로 1804-46 ,5
342,원메탈,고양시 일산동구 장대길42-103(가동 1층),5
343,클라쎄오토주식회사,고양시 일산동구 무궁화로 337,5
344,㈜크린자원산업,고양시 일산동구 지영로 196번길 183,5
345,코닉모터스,고양시 일산동구 견달산로 341,5
346,한국가스공사 서울지역본부 일산관리소,고양시 일산동구 경의로 127,5
347,효성산업기계㈜,고양시 일산동구 성현로268번길 293(성석동),5
348,대승자동차정비,고양시 일산동구 장항로 225번길 103,5
349,주식회사 대운메탈,"고양시 일산동구 공릉천로355번길 82, 2동(지영동)",5
350,㈜케이에이치그린일산점,고양시 일산동구 중앙로 1205,4
