업종명,업소명,소재지(도로명),소재지(지번),소재지전화
단란주점,비젼노래뱅크,경기도 고양시 덕양구 행신로 155-9 (행신동),경기도 고양시 덕양구 행신동 619번지 15호  , 031- 972-2698
단란주점,미미,경기도 고양시 덕양구 지도로 107 (토당동),경기도 고양시 덕양구 토당동 99번지 38호  , 031- 972-7047
단란주점,아리랑,경기도 고양시 덕양구 토당로 102 (토당동),경기도 고양시 덕양구 토당동 296번지 21호  , 031- 972-8051
단란주점,레드,"경기도 고양시 덕양구 지도로 43 (토당동,지하1층)",경기도 고양시 덕양구 토당동 389번지 20호 지하1층 , 031- 973-5434
단란주점,럭셔리,"경기도 고양시 덕양구 토당로 168 (토당동,지하1층)",경기도 고양시 덕양구 토당동 832번지 22호 지하1층 , 031- 974-1191
단란주점,작은음악회,"경기도 고양시 덕양구 화신로272번길 29 (화정동,201호)",경기도 고양시 덕양구 화정동 983번지 1호 201호 , 031- 974-4411
단란주점,고향마차단란주점,"경기도 고양시 일산서구 고양대로672번길 27, 지하1층 (일산동)",경기도 고양시 일산서구 일산동 655번지 224호 지하1층 , 031- 975-3678
단란주점,킹,"경기도 고양시 일산서구 고양대로 701 (일산동,번지)",경기도 고양시 일산서구 일산동 641번지 32호 번지 , 031- 975-7770
단란주점,수노래타운단란주점,"경기도 고양시 일산서구 일중로 74, 지하1(전체)층 (일산동)",경기도 고양시 일산서구 일산동 576번지 8호 지하1층 , 031- 976-1536
단란주점,타임단란노래주점,경기도 고양시 일산서구 일중로 66 (일산동),경기도 고양시 일산서구 일산동 576번지 49호  , 031- 977-2074
단란주점,오렌지단란주점,"경기도 고양시 일산서구 일중로 73 (일산동, 지하1층일부)",경기도 고양시 일산서구 일산동 579번지 3호 지하1층일부 , 031-977 -2955
단란주점,3040노래주점,"경기도 고양시 덕양구 고양시청로 18 (주교동,지층(부분))",경기도 고양시 덕양구 주교동 603번지 2호 지층(부분) ,
단란주점,힛트노래명가,"경기도 고양시 덕양구 마상로134번길 99 (주교동, 2층일부)",경기도 고양시 덕양구 주교동 610번지 8호 2층일부 ,
단란주점,아지트,"경기도 고양시 덕양구 호국로789번길 19, 지하1층(일부)층 (주교동)",경기도 고양시 덕양구 주교동 613번지 지하1층일부 ,
