등록일자,업종,상호,소재지(도로명),
2007-11-22,국외여행업,(주)유나이티드트래블,"경기도 고양시 일산동구 고봉로 32-9, 양우로데오시티 924호 (장항동)",
2019-02-21,국외여행업,씨유,경기도 고양시 일산동구 백석로71번길 39 (백석동),
2019-03-12,국외여행업,다연,"경기도 고양시 일산동구 강송로 33, 318호 (백석동, 일산요진와이시티)",
2019-03-15,국외여행업,(주)월드원 릴로케이션,"경기도 고양시 일산동구 호수로 672, 대우메종리브르 802호 (장항동)",
2019-03-29,국외여행업,보라카이투어,"경기도 고양시 덕양구 통일로 343, 삼송메디피아빌딩 704호 (신원동)",
2019-04-08,국외여행업,주식회사 골프투어메카,"경기도 고양시 일산서구 덕이로 30-24, 양우씨네플렉스 2층 제3에프-201호 (덕이동)",
2019-04-12,국외여행업,트래블쇼퍼(Travel Shopper),"경기도 고양시 일산동구 호수로 596, 엠비씨드림센터 1층 제1-1133호 (장항동)",
2019-01-21,국외여행업,재팬투어리스트센터,"경기도 고양시 일산서구 일산로 774, 리더스프라자2 201, 202호 (대화동)",
2019-04-15,국외여행업,비더비즈,"경기도 고양시 일산동구 무궁화로 43-33, 동하넥서스빌 305호 (장항동)",
2019-05-28,국외여행업,스타엔터투어,"경기도 고양시 일산동구 호수로 646-24, 위너스21 II 209-84호 (장항동)",
2016-03-16,국외여행업,마젤란여행,"경기도 고양시 일산동구 중산로 247, 중산프라자 402-1호 (중산동)",
2019-05-30,국외여행업,주식회사 오마이투어,"경기도 고양시 일산동구 중앙로 1129, 서관 2018호 대우비즈니스센터 233호 (장항동, 호수마을1단지아파트)",
2018-01-29,국외여행업,주식회사 블루트래블,"경기도 고양시 일산서구 하이파크3로 111, 209동 2003호 (덕이동, 하이파크시티일산파밀리에2단지)",
2019-08-05,국외여행업,세계로 자유투어,"경기도 고양시 일산동구 일산로 38, 우림오피스텔 305호 (백석동)",
2019-08-05,국외여행업,더존투어주식회사,"경기도 고양시 일산동구 중앙로 1206, 뉴코아백화점일산점 9층 (마두동)",
2005-05-18,국외여행업,(주)케이메세,"경기도 고양시 덕양구 삼원로2길 6-7, 102호 (삼송동)",
2019-08-20,국외여행업,나무여행사,"경기도 고양시 일산동구 중앙로 1011, 현대밀라트II A동 615호 (백석동)",
2019-08-22,국외여행업,필드 프렌드,"경기도 고양시 일산동구 무궁화로 20-38, 로데오탑 703,704,705호 (장항동)",
2019-09-18,국외여행업,이레여행사 유한회사(IRE LC),"경기도 고양시 일산동구 정발산로 15, 드림월드빌딩 4층 408호 (장항동)",
2019-09-30,국외여행업,삼우,경기도 고양시 덕양구 통일로1170번길 135-46 (내유동),
2019-10-04,국외여행업,티피트레블,"경기도 고양시 일산동구 일산로 38, 우림보보카운티 306호 (백석동)",
2000-11-30,일반여행업,(주)엑소더스,"경기도 고양시 일산동구 중앙로 1305-30, 505호 (장항동, 마이다스 오피스텔)",
2004-08-02,일반여행업,(주)클럽스카이,"경기도 고양시 덕양구 화중로 98, 601호 (화정동,광성프라자)",
2009-08-28,일반여행업,(주)한남여행사,경기도 고양시 일산동구 애니골길 128 (풍동),
2009-04-02,일반여행업,이코리아투어여행사,경기도 고양시 덕양구 중앙로152번길 4-20 (화전동),
2010-05-31,일반여행업,(주)중한해외연수원,"경기도 고양시 일산서구 강선로 49, 524호 (주엽동,일산비스타오피스텔)",
2010-08-26,일반여행업,(주)에이치디투어,"경기도 고양시 일산서구 호수로 817 (대화동,현대백화점 9층 여행데스크)",
2011-08-01,일반여행업,(주)에이스투어,"경기도 고양시 일산동구 위시티로 75 (식사동,풍산트윈시티 1동105호)",
2012-02-13,일반여행업,(주)리엔씨,"경기도 고양시 일산동구 일산로 138, 1011호 (백석동, 일산테크노타운)",
2013-04-10,일반여행업,티엘비유글로벌아이앤씨(주),경기도 고양시 덕양구 내유길 265 (내유동),
2013-04-23,일반여행업,에이플랙스(주),"경기도 고양시 일산동구 호수로 662, 218호 (장항동, 삼성라끄빌)",
2013-05-28,일반여행업,(주)서신국제,"경기도 고양시 덕양구 호국로 773, 코스모프라자빌딩 301호 (주교동)",
2010-03-10,일반여행업,(주)씨티에스코리아,"경기도 고양시 일산동구 중앙로 1305-30 (장항동, 일산마이다스)",
2014-01-15,일반여행업,(주)위드씨엠티,"경기도 고양시 일산동구 중앙로1275번길 60-30 (장항동, 일산라페스타 비동 307호)",
2014-02-05,일반여행업,(주)정풍투어,"경기도 고양시 일산동구 중앙로 1011, 217호 (백석동, 에이동)",
2014-01-22,일반여행업,(주)호호투어,경기도 고양시 덕양구 화신로272번길 58 (화정동),
2011-07-11,일반여행업,(주)코리아시티트레블,"경기도 고양시 일산동구 장백로 20, 102동 718호 (백석동, 동문굿모닝힐)",
2014-07-31,일반여행업,(주)이이브이,경기도 고양시 일산동구 문봉길62번길 32-51 (문봉동),
2013-04-09,일반여행업,파마잔 주식회사,"경기도 고양시 일산서구 일중로 17, 3층 303호 (일산동)",
2013-03-14,일반여행업,주식회사 코틴스,"경기도 고양시 일산동구 강석로 145, 2층 3호 (마두동)",
2014-10-22,일반여행업,주식회사 순수공간,"경기도 고양시 덕양구 화중로130번길 13, 지하층 (화정동)",
2011-04-20,일반여행업,주식회사 피앤피코리아,"경기도 고양시 일산동구 정발산로 24, 웨스턴돔3 616호 (장항동)",
2014-11-06,일반여행업,새론팜,"경기도 고양시 일산서구 중앙로 1471, 209호 (주엽동, 대우레시티상가)",
2014-12-02,일반여행업,(유)케이투지비에스,"경기도 고양시 일산서구 일산로 774 (대화동, 리더스프라자2)",
2014-12-24,일반여행업,주식회사 비티메디,"경기도 고양시 일산동구 백마로 195, 오피스동 3006호 (장항동, sk엠시티)",
2015-02-09,일반여행업,마노,"경기도 고양시 일산동구 고봉로 20-26, 319호 (장항동, 코오롱레이크폴리스3, 제A동)",
2011-10-05,일반여행업,뉴코리아투어(주),"경기도 고양시 일산서구 중앙로 1391, 305호 (주엽동, 레이크타운)",
2012-07-25,일반여행업,(주)하나여행사 이지,경기도 고양시 일산서구 송산로 369 (가좌동),
2012-02-10,일반여행업,(주)비티컨설팅,"경기도 고양시 일산서구 중앙로 1493, 2102호 (주엽동, 애비뉴상가)",
2015-06-02,일반여행업,고트래블코리아(Goh Travel Korea),"경기도 고양시 일산동구 정발산로42번길 38, 1012호 (장항동, 라이저오피스텔)",
2010-09-08,일반여행업,(주)탑플라이트트래블,"경기도 고양시 일산동구 정발산로 43-20, 센트럴프라자 301호 (장항동)",
2015-07-31,일반여행업,주식회사 한류,"경기도 고양시 일산서구 강성로 139, 501호 (주엽동, 화인빌동)",
2014-10-31,일반여행업,주식회사 아리바바,"경기도 고양시 덕양구 호국로 773, 302호 (주교동, 코스모프라자빌딩)",
2016-05-02,일반여행업,주식회사 모든투어,"경기도 고양시 일산서구 중앙로 1581, 1016호 (대화동, 하이투모로)",
2016-06-28,일반여행업,주식회사 조은교육,"경기도 고양시 덕양구 무원로6번길 36, 남정씨티프라자6차 706호 (행신동)",
2016-07-12,일반여행업,주식회사 모두를위한관광,"경기도 고양시 덕양구 중앙로 542, 1014호 (행신동, 세신훼미리타운)",
2016-11-02,일반여행업,(주)지에이산업관광,"경기도 고양시 일산서구 중앙로 1576, 801호 (대화동, 태진프라자)",
2016-11-24,일반여행업,워터트리,"경기도 고양시 일산서구 중앙로 1542, 신동아노블타워 411-4호 (대화동)",
2017-02-22,일반여행업,리프레쉬투어,"경기도 고양시 일산동구 중앙로1261번길 19, 204호 (장항동, 호수광장빌딩)",
2017-02-23,일반여행업,(주)만인투어여행사,경기도 고양시 덕양구 보광로 325-14 (벽제동),
2017-03-13,일반여행업,(주)에스케이골프투어,"경기도 고양시 일산동구 중앙로1275번길 60-21, 5층 507호 (장항동, 크리스탈빌딩)",
2017-03-24,일반여행업,투어미소,"경기도 고양시 일산동구 동국로 32, 동국대학교 산학협력관 325호 (식사동)",
2017-04-26,일반여행업,주식회사 더세나,"경기도 고양시 일산동구 호수로 646-30, 804호 (장항동, 신풍프라자)",
2017-01-16,일반여행업,오름투어 주식회사,"경기도 고양시 덕양구 삼원로 18-1, 1층 102호 (삼송동)",
2017-06-07,일반여행업,마하나임 관광 개발,"경기도 고양시 덕양구 화중로138번길 17, 1층 (화정동)",
2017-07-12,일반여행업,와이에비뉴투어(Y AVENUE TOUR),"경기도 고양시 일산동구 중앙로1275번길 38-10, 우림로데오스위트 1118호 (장항동)",
2017-08-08,일반여행업,(주)투어나라,"경기도 고양시 일산서구 중앙로 1456, 603호 (주엽동, 서현프라자)",
2017-08-21,일반여행업,(주)한섬코리아,"경기도 고양시 일산동구 무궁화로 7-63, 1145호 (장항동, 우인아크리움빌II)",
2011-06-17,일반여행업,(주)한국국제상무중심,"경기도 고양시 덕양구 삼송로 12, 817호 (원흥동)",
2017-09-13,일반여행업,유자Travel,"경기도 고양시 일산동구 호수로 646-24, 208-231호 (장항동, 위너스21 II)",
2017-09-22,일반여행업,아웃도어투어,"경기도 고양시 일산동구 중앙로 1011, A동 815호 (백석동, 현대밀라트II)",
2017-10-18,일반여행업,주식회사 어울림웨딩홀,"경기도 고양시 일산동구 성석로 32, 202호 (중산동)",
2014-10-03,일반여행업,마이투어코리아,"경기도 고양시 일산동구 정발산로 24, T4-614호 (장항동)",
2017-12-26,일반여행업,제이더블유투어,"경기도 고양시 일산동구 정발산로 43-20, 센트럴프라자 301호 (장항동)",
2018-01-09,일반여행업,(주)메가트래블네트워크,"경기도 고양시 일산동구 호수로 358-39, 동문타워I 1017호 (백석동)",
2018-01-22,일반여행업,주식회사 두레(Dure Co. Ltd),"경기도 고양시 일산동구 무궁화로 20-18, 하임빌로데오빌딩 111호 (장항동)",
2017-01-17,일반여행업,(주)그랜드시티나인,"경기도 고양시 일산동구 장백로 19, 더루벤스카운티 501호 (백석동)",
2018-04-19,일반여행업,프로메딕,"경기도 고양시 일산서구 탄중로101번길 13, 201호 (덕이동)",
2018-06-20,일반여행업,주식회사 대성관광,"경기도 고양시 일산동구 정발산로 24, 웨스턴돔2 410호 (장항동)",
2018-07-04,일반여행업,링크투어,"경기도 고양시 일산동구 중앙로 1200, 삼희골드프라자 902호 (마두동)",
2018-07-09,일반여행업,어울림관광협동조합,"경기도 고양시 덕양구 마상로126번길 103, 세원빌딩 302호 (주교동)",
2011-03-30,일반여행업,패키지코리아,"경기도 고양시 덕양구 화신로260번길 57, 요진타워 720호 (화정동)",
2018-08-28,일반여행업,주식회사 에코들리,"경기도 고양시 일산서구 호수로856번길 37-19, 지하1층 (대화동)",
2018-08-31,일반여행업,주식회사 조이풀아트,"경기도 고양시 덕양구 토당로168번길 44, 1층 상가101호 (토당동)",
2018-10-15,일반여행업,(주)인텔리전스,"경기도 고양시 덕양구 고양대로 1393, 407호 (성사동)",
2018-05-18,일반여행업,여행가방,"경기도 고양시 일산서구 대화로398번길 37-12, 1층 (대화동)",
2018-11-05,일반여행업,(주)이투어프라자,"경기도 고양시 일산서구 중앙로 1456, 서현프라자 603-1호 (주엽동)",
2018-12-05,일반여행업,주식회사 씨케이여행사,"경기도 고양시 덕양구 화정로 53-1, 글로리아프라자 219호 (화정동)",
2018-12-05,일반여행업,(주)씨에이에프코리아,"경기도 고양시 일산동구 호수로 358-25, 동문타워II 318,319호 (백석동)",
2019-03-15,일반여행업,(주)월드원 릴로케이션,"경기도 고양시 일산동구 호수로 672, 대우메종리브르 802호 (장항동)",
2019-03-21,일반여행업,(주)비즈탑코리아,"경기도 고양시 덕양구 은빛로 43, 은하수빌딩 903호 (화정동)",
2019-04-24,일반여행업,주식회사 명성투어 여행사,"경기도 고양시 일산서구 홀트로 66, 동화프라자 3층 (탄현동)",
2019-04-26,일반여행업,주식회사 남가투어,"경기도 고양시 일산동구 백마로 195, 엠시티타워&엠시티오피스텔 7층 7001-7호 (장항동)",
2019-04-26,일반여행업,트립스캐너 주식회사,"경기도 고양시 일산동구 중앙로1275번길 60-30, 라페스타B동 4층 로켓티어 50호 (장항동)",
2019-05-13,일반여행업,일리투어,"경기도 고양시 일산동구 중앙로 1171, 현대프리젠트 3층 316호 (장항동)",
2019-05-22,일반여행업,(주)코리아건강관광,"경기도 고양시 일산동구 산두로 38, 1층 (마두동)",
2019-06-10,일반여행업,나이스투어(NICE TOUR),"경기도 고양시 덕양구 화중로 96, 우정프라자 3층 307호 (화정동)",
2019-06-26,일반여행업,(주)민정메디투어,"경기도 고양시 일산동구 호수로 646-24, 위너스21 II 208호 (장항동)",
2019-07-02,일반여행업,(주)오투투어,"경기도 고양시 덕양구 은빛로 53, 코스미온빌 209호 (화정동)",
2015-12-30,일반여행업,하나로트레블이즈 주식회사,"경기도 고양시 덕양구 화중로 32-17, 예일세띠앙오피스텔 806호 (화정동)",
2019-07-31,일반여행업,에드원여행사(ADDONE TOUR),"경기도 고양시 일산동구 호수로 358-25, 동문타워II 214호 (백석동)",
2019-08-08,일반여행업,(주)아리투어,"경기도 고양시 일산서구 한류월드로 300, 원마운트 1222호 (대화동)",
2019-09-09,일반여행업,케이지아 솔루션 주식회사,"경기도 고양시 일산동구 무궁화로 8-28, 삼성메르헨하우스 1023호 (장항동)",
2019-10-25,일반여행업,주식회사 오케이여행사,"경기도 고양시 덕양구 호국로 798, 삼성홈타워오피스텔 602호 (성사동)",
,,,,
