시설번호,놀이시설명,우편번호,주 소,설치일자,설치장소,운영구분,지역분류,민공구분
42066,성저마을10단지건영빌라 놀이터,10369,"경기도 고양시 일산서구 성저로 107 (대화동, 성저마을10단지건영빌라)",2009-07-08,주택단지,운영,경기 고양시 일산서구,민간
42085,햇빛마을18-2단지아파트 8동 옆 놀이터,10494,경기도 고양시 덕양구 행신동 938번지,2009-07-15,주택단지,운영,경기 고양시 덕양구 행신동,민간
42125,안골 어린이공원 놀이터(일산13호 어린이공원),10410,경기도 고양시 일산동구 마두동 992번지,2009-07-23,도시공원,운영,경기 고양시 일산동구,공공
42164,풍동성원1차아파트 109동 놀이터,10307,"경기도 고양시 일산동구 고풍로 44-25 (풍동, 성원아파트)",2010-07-07,주택단지,운영,경기 고양시 일산동구 풍동,민간
500679,햇빛마을 18-1단지@ 1806동 놀이터,10483,경기 고양시 덕양구 행신동895번지,1998-07-03,주택단지,운영,경기 고양시 덕양구 행신동,민간
500683,햇빛마을 18-1단지@ 1807동 놀이터,10483,경기 고양시 덕양구 행신동895번지,1998-07-03,주택단지,운영,경기 고양시 덕양구 행신동,민간
500684,햇빛마을 18-1단지@ 1810동 놀이터,10483,경기 고양시 덕양구 행신동895번지,1998-07-03,주택단지,운영,경기 고양시 덕양구 행신동,민간
500685,햇빛마을 18-1단지@ 1813동 놀이터,10483,경기 고양시 덕양구 행신동895번지,1998-07-03,주택단지,운영,경기 고양시 덕양구 행신동,민간
500769,햇빛마을 19단지 어린이 놀이시설 2,10483,경기 고양시 덕양구 행신동903,1998-08-01,주택단지,운영,경기 고양시 덕양구 행신동,민간
500774,햇빛마을 19단지 어린이 놀이시설 1,10483,경기 고양시 덕양구 행신동903,1998-08-01,주택단지,운영,경기 고양시 덕양구 행신동,민간
500835,햇빛마을 23단지 아파트2304동앞놀이터,10494,경기 고양시 덕양구 행신동953,1996-11-22,주택단지,운영,경기 고양시 덕양구 행신동,민간
500839,햇빛마을 23단지 아파트2306동앞놀이터,10494,경기 고양시 덕양구 행신동953,1996-11-22,주택단지,운영,경기 고양시 덕양구 행신동,민간
501722,능곡1호(은행나무) 어린이공원,10504,경기 고양시 덕양구 화정동1128,1997-12-31,도시공원,운영,경기 고양시 덕양구 화정동,공공
501876,고려어린이집 놀이터,10301,경기 고양시 일산동구 풍동614-3,2010-12-16,어린이집,운영,경기 고양시 일산동구 풍동,민간
502655,호미걸이공원 어린이놀이터,10218,경기 고양시 일산서구 대화동750-7,2003-10-01,도시공원,운영,경기 고양시 일산서구 대화동,공공
503274,아이원어린이집 놀이터,10388,경기도 고양시 일산서구 대산로 145 (주엽동)아이원어린이집,2010-09-01,어린이집,운영,경기 고양시 일산서구 주엽동,민간
503343,꼬마숲 자연 어린이집 놀이터,10228,경기도 고양시 일산서구 장자길118번길 103 (덕이동),2011-02-07,어린이집,운영,경기 고양시 일산서구 덕이동,민간
503383,아이천국어린이집 놀이터,10372,경기도 고양시 일산서구 일산로 614 (일산동)아이천국어린이집,2009-03-10,어린이집,운영,경기 고양시 일산서구 일산동,민간
503389,열린키즈어린이집 놀이터,10372,"경기도 고양시 일산서구 후곡로 55 (일산동, 후곡마을2단지아파트)열린키즈어린이집",2009-03-02,어린이집,운영,경기 고양시 일산서구 일산동,민간
503393,꼬마숲예화 어린이집 놀이터,10339,경기 고양시 일산서구 일산동1830,2011-03-07,어린이집,운영,경기 고양시 일산서구 일산동,민간
503546,소만마을 6단지 어린이 놀이시설 6,10530,경기 고양시 덕양구 행신동785,1994-05-01,주택단지,운영,경기 고양시 덕양구 행신동,민간
503554,소만마을 6단지 어린이 놀이시설 5,10530,경기 고양시 덕양구 행신동785,1994-05-01,주택단지,운영,경기 고양시 덕양구 행신동,민간
503558,소만마을 6단지 어린이 놀이시설 4,10530,경기 고양시 덕양구 행신동785,1994-05-01,주택단지,운영,경기 고양시 덕양구 행신동,민간
503570,소만마을 6단지 어린이 놀이시설 3,10530,경기 고양시 덕양구 행신동785,1994-05-01,주택단지,운영,경기 고양시 덕양구 행신동,민간
503576,소만마을 6단지 어린이 놀이시설 2,10530,경기 고양시 덕양구 행신동785,1994-05-01,주택단지,운영,경기 고양시 덕양구 행신동,민간
503580,소만마을 6단지 어린이 놀이시설 1,10530,경기 고양시 덕양구 행신동785,1994-05-01,주택단지,운영,경기 고양시 덕양구 행신동,민간
506945,일산파밀리에아파트 201동 앞 놀이터,10229,경기 고양시 일산서구 덕이동1529,2011-01-07,주택단지,운영,경기 고양시 일산서구 덕이동,민간
506947,일산파밀리에3단지아파트 305동앞놀이터,10230,"경기도 고양시 일산서구 하이파크2로59번길 7 (덕이동, 하이파크시티일산파밀리에3단지)",2011-01-07,주택단지,운영,경기 고양시 일산서구 덕이동,민간
506949,일산파밀리에아파트 412동 앞 놀이터,10235,경기 고양시 일산서구 덕이동1535,2011-01-07,주택단지,운영,경기 고양시 일산서구 덕이동,민간
506950,일산파밀리에아파트 407동 앞 놀이터,10235,경기 고양시 일산서구 덕이동1535,2011-01-07,주택단지,운영,경기 고양시 일산서구 덕이동,민간
509558,일산성우오스타타운하우스놀이터,10354,경기 고양시 일산서구 일산동2141,2011-02-25,주택단지,운영,경기 고양시 일산서구 일산동,민간
513476,신성빌라 공공어린이놀이터,10272,경기 고양시 덕양구 고양동8-25,1989-01-01,도시공원,운영,경기 고양시 덕양구 고양동,공공
516078,백송마을5단지 삼호풍림아파트 506동 옆 놀이시설,10419,경기도 고양시 일산동구 강촌로 118 (백석동),1992-01-01,주택단지,운영,경기 고양시 일산동구 백석동,민간
517362,가좌마을3단지 305동 옆,10210,"경기도 고양시 일산서구 가좌2로 53 (가좌동, 가좌마을3단지아파트)",2002-10-14,주택단지,운영,경기 고양시 일산서구 가좌동,민간
517369,고양시대화마을3단지 동문아파트307동,10218,경기도 고양시 일산서구 대화1로 51 (대화동，대화마을3단지아파트),2002-10-18,주택단지,운영,경기 고양시 일산서구 대화동,민간
517376,대화마을7단지 708동 옆,10218,"경기도 고양시 일산서구 대화1로 70 (대화동, 대화마을7단지아파트)",2003-06-23,주택단지,운영,경기 고양시 일산서구 대화동,민간
517378,대화마을7단지 702동 옆,10218,"경기도 고양시 일산서구 대화1로 70 (대화동, 대화마을7단지아파트)",2006-06-26,주택단지,운영,경기 고양시 일산서구 대화동,민간
517383,성저마을7단지 건영빌라 710동 놀이터,10368,경기도 고양시 일산서구 성저로 47 (대화동，성저마을7단지건영빌라),2014-07-01,주택단지,운영,경기 고양시 일산서구 대화동,민간
517409,후곡마을 16단지 1603동 옆,10375,"경기도 고양시 일산서구 강선로 141 (일산동, 후곡마을16단지아파트)",1995-10-25,주택단지,운영,경기 고양시 일산서구 일산동,민간
517421,일신건영휴먼빌1차 103동놀이터,10348,경기 고양시 일산서구 일산동1655 일신건영아파트 관리사무소,2005-01-05,주택단지,운영,경기 고양시 일산서구 일산동,민간
517426,태영아파트 203동 옆,10352,경기 고양시 일산서구 일산동954 태영아파트 관리사무소,2002-01-01,주택단지,운영,경기 고양시 일산서구 일산동,민간
517429,후곡마을 2단지 203동 옆,10372,"경기도 고양시 일산서구 후곡로 51 (일산동, 후곡마을2단지)",2007-01-01,주택단지,운영,경기 고양시 일산서구 일산동,민간
517431,일신건영휴먼빌1차 102동놀이터,10348,경기 고양시 일산서구 일산동1655,2003-12-22,주택단지,운영,경기 고양시 일산서구 일산동,민간
517432,후곡마을 2단지 206동 옆,10372,"경기도 고양시 일산서구 후곡로 51 (일산동, 후곡마을2단지)",2007-01-01,주택단지,운영,경기 고양시 일산서구 일산동,민간
517434,일산후곡마을3단지 현대아파트 307동앞 놀이터,10374,"경기도 고양시 일산서구 후곡로 60 (일산동, 후곡마을3단지아파트)",1994-10-31,주택단지,운영,경기 고양시 일산서구 일산동,민간
