연번,시설명,위 치,연면적(㎡),이용현황,비 고
83,고봉10통 마을회관,경기도 고양시 일산동구 성석로146번길35-41,,,
84,고봉10통마을회관,경기도 고양시 일산동구 성석동 174-9 ,207.4,"경로당, 마을회관",(한울노인정)
85,고봉11통 마을회관,경기도 고양시 일산동구 원당로499번길45,,,
86,고봉13통 마을회관,경기도 고양시 일산동구 고봉로551번길46,,,
87,고봉14통 마을회관,경기도 고양시 일산동구 성현로93번길58,,,
88,고봉15통 마을회관,경기도 고양시 일산동구 문봉길34-7,,,
89,고봉16통 마을회관,경기도 고양시 일산동구 성현로268번길160,,,
90,일산2동9통 마을회관,경기도 고양시 일산서구 일중로55번길9,,,
91,송포2통 마을회관,경기도 고양시 일산서구 대화로156번길40,,,
92,송포3통 마을회관,경기도 고양시 일산서구 멱절길86번길33,,,
93,송포5통 마을회관,경기도 고양시 일산서구 곳산길8,,,
94,송포6통 마을회관,경기도 고양시 일산서구 대화로37번길36,,,
95,송포7통 마을회관,경기도 고양시 일산서구 법곳길136번길13,,,
96,송포8통 마을회관,경기도 고양시 일산서구 송산로334번길223,,,
97,송산2통 마을회관,경기도 고양시 일산서구 탄중로67번길4-5,,,
98,송산3통 마을회관,경기도 고양시 일산서구 장자길96,,,
99,송산4통 마을회관,경기도 고양시 일산서구 송포백송길15,,,
100,송산5통 마을회관,경기도 고양시 일산서구 덕이로287,,,
101,송산7통 마을회관,경기도 고양시 일산서구 송산로266번길19-116,,,
102,송산9통 마을회관,경기도 고양시 일산서구 송포로425번길133,,,
103,송산10통 마을회관,경기도 고양시 일산서구 덕산로 121번길 5,,,
104,송산11통 마을회관,경기도 고양시 일산서구 덕산로48번길22,,,
105,송산12통 마을회관,경기도 고양시 일산서구 곳산길 160,,,
106,송산13통 마을회관,경기도 고양시 일산서구 이산포길 498-58,,,
107,송산14통 마을회관,경기도 고양시 일산서구 구산로69번길 32 ,197.64,"문촌7복지관 거점센터, 경로당",
