"","면적당가격","전용면적...","층","노후정도","총인구밀도","성비","고령화정도","건물위생관리업","목욕장업","미용업","세탁업","숙박업","이용업","대부업","단란주점","유흥주점","지식산업센터","총센터면적","총유치업체수","연립주택동수","연립주택가구수","공연장","대규모점포","도서관","도서관총자료","도시공원","도시공원총면적","의료기관","의료유사업소","자동차대여업","전통시장여부","영화상영관수","여행업","어린이보호구역","약국","문화유통업","전기차충전기"
"6619",364.80686695279,69.9,2,26,30121.0964347079,0.884918476206476,0.215682401702891,19,5,211,24,2,20,9,2,9,0,0,0,295,20897,0,7,1,139151,11,137253,136,1,3,"N",9,26,9,31,21,1
"6620",268.496420047733,50.28,14,24,30245.9047178459,0.961502853625079,0.19860105892276,8,3,77,18,9,7,0,0,0,0,0,0,150,16493,0,0,1,21208,12,442936,51,0,0,"N",0,2,7,19,73,1
"6621",380.141095006868,119.6924,15,16,5774.92083419618,0.939113257761473,0.180608756089333,11,4,177,19,14,11,12,1,2,0,0,0,191,10453,2,8,2,159110,24,458635,62,0,3,"N",8,16,6,32,73,15
"6622",255.695714688051,134.926,1,17,16858.8028169014,0.939049084723797,0.202761127007665,7,2,102,16,2,4,12,0,0,2,42316,218,201,14370,0,2,1,3070,23,292893,38,0,2,"N",0,9,9,14,47,1
"6623",401.606425702811,57.27,10,26,30121.0964347079,0.884918476206476,0.215682401702891,19,5,211,24,2,20,9,2,9,0,0,0,295,20897,0,7,1,139151,11,137253,136,1,3,"N",9,26,9,31,21,1
"6624",600.750938673342,59.925,6,24,9232.50242366242,0.943572177630284,0.189731630225957,29,3,278,21,4,7,72,28,5,0,0,0,61,5289,3,6,1,8330,7,1197139,103,6,5,"N",17,85,2,30,183,0
"6625",278.045914298905,95.308,15,19,30245.9047178459,0.961502853625079,0.19860105892276,8,3,77,18,9,7,0,0,0,0,0,0,150,16493,0,0,1,21208,12,442936,51,0,0,"N",0,2,7,19,73,1
"6626",477.256658024982,84.86,22,10,7350.54598788901,0.966140974657773,0.242692360558859,12,4,90,16,5,13,5,16,6,0,0,0,129,8783,3,0,1,121421,8,697214,50,0,0,"Y",0,6,4,13,51,3
"6627",428.001876172608,51.168,1,24,33070.4847896006,0.955775967430041,0.192504419794133,6,4,182,38,17,25,2,6,9,0,0,0,367,25564,0,0,1,144228,5,62723,83,1,0,"Y",0,12,7,26,68,0
"6628",488.637701636642,84.93,15,24,17065.8767349489,0.942911508493996,0.186832349577701,27,4,214,29,10,16,23,6,12,0,0,0,239,20873,1,4,3,303207,20,209672,125,2,2,"N",8,27,11,39,91,5
"6629",420.662964832576,71.316,7,24,33070.4847896006,0.955775967430041,0.192504419794133,6,4,182,38,17,25,2,6,9,0,0,0,367,25564,0,0,1,144228,5,62723,83,1,0,"Y",0,12,7,26,68,0
"6630",302.706552706553,84.24,13,25,30245.9047178459,0.961502853625079,0.19860105892276,8,3,77,18,9,7,0,0,0,0,0,0,150,16493,0,0,1,21208,12,442936,51,0,0,"N",0,2,7,19,73,1
"6631",425.179106698697,84.6702,11,1,30245.9047178459,0.961502853625079,0.19860105892276,8,3,77,18,9,7,0,0,0,0,0,0,150,16493,0,0,1,21208,12,442936,51,0,0,"N",0,2,7,19,73,1
"6632",400.534045393858,59.92,1,25,30121.0964347079,0.884918476206476,0.215682401702891,19,5,211,24,2,20,9,2,9,0,0,0,295,20897,0,7,1,139151,11,137253,136,1,3,"N",9,26,9,31,21,1
"6633",286.11797951254,84.93,13,12,1235.90255591054,1.0132058287796,0.243093030019065,3,3,55,11,9,8,0,3,4,0,0,0,119,8999,0,0,3,55856,7,43802,29,0,0,"N",0,2,5,11,28,0
"6634",300.902708124373,59.82,19,17,30245.9047178459,0.961502853625079,0.19860105892276,8,3,77,18,9,7,0,0,0,0,0,0,150,16493,0,0,1,21208,12,442936,51,0,0,"N",0,2,7,19,73,1
"6635",322.128851540616,49.98,5,24,16858.8028169014,0.939049084723797,0.202761127007665,7,2,102,16,2,4,12,0,0,2,42316,218,201,14370,0,2,1,3070,23,292893,38,0,2,"N",0,9,9,14,47,1
"6636",360.36036036036,49.95,7,23,17065.8767349489,0.942911508493996,0.186832349577701,27,4,214,29,10,16,23,6,12,0,0,0,239,20873,1,4,3,303207,20,209672,125,2,2,"N",8,27,11,39,91,5
"6637",611.869803519193,84.9854,29,1,16858.8028169014,0.939049084723797,0.202761127007665,7,2,102,16,2,4,12,0,0,2,42316,218,201,14370,0,2,1,3070,23,292893,38,0,2,"N",0,9,9,14,47,1
"6638",315.851502651738,84.85,7,6,33070.4847896006,0.955775967430041,0.192504419794133,6,4,182,38,17,25,2,6,9,0,0,0,367,25564,0,0,1,144228,5,62723,83,1,0,"Y",0,12,7,26,68,0
"6639",549.49494949495,123.75,6,26,18830.7369101487,0.902635732609571,0.184408175517349,9,2,129,19,3,4,14,2,6,0,0,0,230,11300,5,3,3,383560,10,775144,80,0,2,"N",0,13,8,26,24,1
"6640",464.759959141982,58.74,7,26,14947.2983120461,0.930851483328265,0.183121968192075,22,3,164,23,9,16,17,1,3,2,195043,459,136,10883,0,5,1,154798,11,217654,53,0,4,"N",12,34,5,26,108,14
"6641",348.649338133167,70.558,3,19,30245.9047178459,0.961502853625079,0.19860105892276,8,3,77,18,9,7,0,0,0,0,0,0,150,16493,0,0,1,21208,12,442936,51,0,0,"N",0,2,7,19,73,1
"6642",405.141629062258,134.8911,20,9,5037.97653958944,0.94679585245623,0.138915567973457,6,1,44,6,0,4,0,0,0,0,0,0,86,8297,0,0,1,70739,10,100030,20,0,1,"N",0,6,7,11,15,0
"6643",487.402872615964,84.94,15,25,18830.7369101487,0.902635732609571,0.184408175517349,9,2,129,19,3,4,14,2,6,0,0,0,230,11300,5,3,3,383560,10,775144,80,0,2,"N",0,13,8,26,24,1
"6644",600.29677593417,74.13,12,6,1875.82417582418,0.934277620396601,0.187212319022512,1,1,46,4,0,1,2,0,0,0,0,0,86,7963,0,0,1,52017,5,223146,19,0,0,"N",0,10,3,8,23,0
"6645",396.039603960396,84.84,19,13,17065.8767349489,0.942911508493996,0.186832349577701,27,4,214,29,10,16,23,6,12,0,0,0,239,20873,1,4,3,303207,20,209672,125,2,2,"N",8,27,11,39,91,5
"6646",360.384956658249,146.51,9,7,1647.00075930144,0.977301731996354,0.176755336314601,5,1,29,8,0,2,3,0,0,0,0,0,84,6724,0,0,1,66396,7,92537,11,0,4,"Y",8,11,5,6,17,2
"6647",425.425425425425,39.96,3,27,14947.2983120461,0.930851483328265,0.183121968192075,22,3,164,23,9,16,17,1,3,2,195043,459,136,10883,0,5,1,154798,11,217654,53,0,4,"N",12,34,5,26,108,14
"6648",456.247871978209,58.74,8,26,14947.2983120461,0.930851483328265,0.183121968192075,22,3,164,23,9,16,17,1,3,2,195043,459,136,10883,0,5,1,154798,11,217654,53,0,4,"N",12,34,5,26,108,14
"6649",254.860123281176,84.36,8,22,1235.90255591054,1.0132058287796,0.243093030019065,3,3,55,11,9,8,0,3,4,0,0,0,119,8999,0,0,3,55856,7,43802,29,0,0,"N",0,2,5,11,28,0
"6650",769.24078301611,84.4989,9,0,5774.92083419618,0.939113257761473,0.180608756089333,11,4,177,19,14,11,12,1,2,0,0,0,191,10453,2,8,2,159110,24,458635,62,0,3,"N",8,16,6,32,73,15
"6651",362.276154571159,84.88,13,26,7350.54598788901,0.966140974657773,0.242692360558859,12,4,90,16,5,13,5,16,6,0,0,0,129,8783,3,0,1,121421,8,697214,50,0,0,"Y",0,6,4,13,51,3
"6652",453.850076491586,58.83,12,25,33070.4847896006,0.955775967430041,0.192504419794133,6,4,182,38,17,25,2,6,9,0,0,0,367,25564,0,0,1,144228,5,62723,83,1,0,"Y",0,12,7,26,68,0
"6653",291.812572953143,59.97,11,24,16858.8028169014,0.939049084723797,0.202761127007665,7,2,102,16,2,4,12,0,0,2,42316,218,201,14370,0,2,1,3070,23,292893,38,0,2,"N",0,9,9,14,47,1
"6654",318.283626075681,84.83,3,6,33070.4847896006,0.955775967430041,0.192504419794133,6,4,182,38,17,25,2,6,9,0,0,0,367,25564,0,0,1,144228,5,62723,83,1,0,"Y",0,12,7,26,68,0
