"시장명",시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자
"원당시장",상설장,경기도 고양시 덕양구 호국로790번길17,경기도 고양시 덕양구 성사동697-14,매일,37.6562811907,126.8372545216,59,농수축산물+잡화,온누리상품권,,N,Y,2005,031-963-0013,2019-07-10
"능곡시장",상설장,경기도 고양시 덕양구 능곡로12-9,경기도 고양시 덕양구 토당동348-9,매일,37.6212708731,126.8211509650,78,농수축산물+잡화,온누리상품권,,Y,N,2011,031-973-3727,2019-07-10
"일산시장",상설장,경기도 고양시 일산서구 일청로12번길9,경기도 고양시 일산서구 일산동617-20,매일,37.6856220172,126.7708277680,88,농수축산물+잡화,온누리상품권,,Y,Y,1979,031-975-3903,2019-07-10
"패션1번지",상설장,경기도 고양시 일산서구 탄중로101번길13,경기도 고양시 일산서구 덕이동384-1,매일,37.6930194721,126.7557887078,59,패션의류,온누리상품권,,Y,Y,2007,031-917-6669,2019-07-10
"원당시장",상설장,경기도 고양시 덕양구 호국로790번길17,경기도 고양시 덕양구 성사동697-14,매일,37.6562811907,126.8372545216,59,농수축산물+잡화,온누리상품권,,N,Y,2005,031-963-0013,2019-07-10
"능곡시장",상설장,경기도 고양시 덕양구 능곡로12-9,경기도 고양시 덕양구 토당동348-9,매일,37.6212708731,126.8211509650,78,농수축산물+잡화,온누리상품권,,Y,N,2011,031-973-3727,2019-07-10
"일산시장",상설장,경기도 고양시 일산서구 일청로12번길9,경기도 고양시 일산서구 일산동617-20,매일,37.6856220172,126.7708277680,88,농수축산물+잡화,온누리상품권,,Y,Y,1979,031-975-3903,2019-07-10
"패션1번지",상설장,경기도 고양시 일산서구 탄중로101번길13,경기도 고양시 일산서구 덕이동384-1,매일,37.6930194721,126.7557887078,59,패션의류,온누리상품권,,Y,Y,2007,031-917-6669,2019-07-10
